Date,"
Oil volume (m3/day)",Volume of liquid (m3/day),"
Gas volume (m3/day)",Water volume (m3/day),Water cut (%) ,"
Working hours","
Dynamic level (m)","
Reservoir pressure (atm)"
41275,49,70,13055,21,29,24,1819,214
41276,49,70,13055,21,29,24,1836,214
41277,49,70,13055,21,29,24,1788,214
41278,49,70,13055,21,29,24,1789,214
41279,44,70,11768,26,36,24,1825,214
41280,44,70,11768,26,36,24,1781,214
41281,43,68,11432,25,36,24,1790,214
41282,43,68,11432,25,36,24,1784,214
41283,43,68,11432,25,36,24,1831,214
41284,43,68,11432,25,36,24,1831,214
41285,43,68,11432,25,36,24,1828,214
41286,42,68,11253,26,37,24,1761,214
41287,43,69,11418,26,37,24,1789,214
41288,43,69,11418,26,37,24,1764,213
41289,44,71,11749,27,37,24,1764,213
41290,44,71,11749,27,37,24,1764,213
41291,44,71,11749,27,37,24,1754,213
41292,44,71,11749,27,37,24,1763,213
41293,46,70,12319,24,33,24,1768,213
41294,46,70,12319,24,33,24,1785,213
41295,44,70,11768,26,36,24,1788,213
41296,44,70,11768,26,36,24,1779,213
41297,44,70,11768,26,36,24,1786,213
41298,43,69,11600,26,36,24,1769,213
41299,43,69,11418,26,37,24,1781,213
41300,43,69,11418,26,37,24,1789,213
41301,43,69,11418,26,37,24,1785,213
41302,43,69,11418,26,37,24,1787,213
41303,43,69,11418,26,37,24,1779,213
41304,43,69,11418,26,37,24,1780,213
41305,47,70,12503,23,32,24,1780,213
41306,47,70,12503,23,32,24,1774,213
41307,47,72,12671,25,33,24,1766,213
41308,47,75,12608,28,36,24,1783,213
41309,47,75,12608,28,36,24,1770,213
41310,48,76,12776,28,36,24,1781,213
41311,49,78,13113,29,36,24,1773,213
41312,49,78,13113,29,36,24,1772,213
41313,49,78,13113,29,36,24,1764,213
41314,49,78,13113,29,36,24,1766,212
41315,48,78,12908,30,37,24,1763,212
41316,48,78,12908,30,37,24,1783,212
41317,49,79,13073,30,37,24,1784,212
41318,46,78,12293,32,40,24,1782,212
41319,46,78,12293,32,40,24,1793,212
41320,42,71,11190,29,40,24,1787,212
41321,41,70,11032,29,40,24,1781,212
41322,41,70,11032,29,40,24,1783,212
41323,41,70,11032,29,40,24,1788,212
41324,45,70,11952,25,35,24,1792,212
41325,45,70,12136,25,34,24,1794,212
41326,46,72,12482,26,34,24,1819,212
41327,47,73,12656,26,34,24,1837,212
41328,47,73,12656,26,34,24,1830,212
41329,44,73,11889,29,38,24,1838,212
41330,44,73,11889,29,38,24,1843,212
41331,48,74,12829,26,34,24,1854,212
41332,48,74,12829,26,34,24,1877,212
41333,47,73,12656,26,34,24,1939,212
41334,44,73,11889,29,38,24,1843,212
41335,44,73,11889,29,38,24,1849,212
41336,45,73,12080,28,37,24,1861,212
41337,45,73,12080,28,37,24,1832,212
41338,46,75,12411,29,37,24,1831,212
41339,46,74,12246,28,37,24,1847,212
41340,43,74,11663,31,40,24,1845,211
41341,43,74,11663,31,40,24,1853,211
41342,43,74,11663,31,40,24,1940,211
41343,43,74,11663,31,40,24,1852,211
41344,43,74,11663,31,40,24,1854,211
41345,43,74,11663,31,40,24,1855,211
41346,43,74,11663,31,40,24,1861,211
41347,43,74,11663,31,40,24,1847,211
41348,43,74,11663,31,40,24,1854,211
41349,43,74,11663,31,40,24,1823,211
41350,43,74,11663,31,40,24,1831,211
41351,45,77,12136,32,40,24,1901,211
41352,45,77,12136,32,40,24,1887,211
41353,44,75,11820,31,40,24,1851,211
41354,45,76,11978,31,40,24,1872,211
41355,45,77,12136,32,40,24,1869,211
41356,45,77,12136,32,40,24,1881,211
41357,43,73,11505,30,40,24,1874,211
41358,43,74,11663,31,40,24,1863,211
41359,43,74,11663,31,40,24,1870,211
41360,43,74,11663,31,40,24,1836,211
41361,45,77,12136,32,40,24,1853,211
41362,43,73,11505,30,40,24,1862,211
41363,43,73,11505,30,40,24,1867,211
41364,39,73,10546,34,45,24,1862,211
41365,41,77,11124,36,45,24,1858,211
41366,44,77,11731,33,42,24,1858,210
41367,44,77,11731,33,42,24,1857,210
41368,44,77,11731,33,42,24,1857,210
41369,44,77,11731,33,42,24,1841,210
41370,44,77,11731,33,42,24,1849,210
41371,44,77,11731,33,42,24,1862,210
41372,44,77,11731,33,42,24,1849,210
41373,44,77,11731,33,42,24,1877,210
41374,44,77,11731,33,42,24,1829,210
41375,44,77,11731,33,42,24,1841,210
41376,39,77,10517,38,48,24,1833,210
41377,39,77,10517,38,48,24,1846,210
41378,39,77,10517,38,48,24,1852,210
41379,39,77,10517,38,48,24,1853,210
41380,39,77,10517,38,48,24,1847,210
41381,39,77,10517,38,48,24,1861,210
41382,39,77,10517,38,48,24,1896,210
41383,39,77,10517,38,48,24,1985,210
41384,39,77,10517,38,48,24,1873,210
41385,39,77,10517,38,48,24,1863,210
41386,45,77,12136,32,40,24,1874,210
41387,45,77,12136,32,40,24,1870,210
41388,43,77,11529,34,43,24,1876,210
